year,demographic,category,vol_type,count_1000,avg_hours,p25,p50,p75
2025,education,all,Informal,4.77,0.46,1.85,6.0,
2025,education,apprenticeship_voc,Total,6.21,0.85,2.77,7.62,
2025,education,apprenticeship_voc,Formal,3.49,0.69,1.85,4.62,
2025,education,apprenticeship_voc,Informal,5.66,0.58,2.31,6.92,
2025,education,matura,Total,5.96,0.96,2.83,6.92,
2025,education,matura,Formal,3.25,0.69,1.85,3.69,
2025,education,matura,Informal,5.3,0.67,2.23,5.96,
2025,education,university,Total,5.56,0.74,2.31,6.71,
2025,education,university,Formal,2.9,0.48,1.38,3.23,
2025,education,university,Informal,4.86,0.46,1.81,6.0,
2025,migration,all,Total,6.04,0.92,2.77,7.35,
2025,migration,all,Formal,3.41,0.69,1.85,3.98,
2025,migration,all,Informal,5.37,0.58,2.19,6.75,
2025,migration,first_generation,Total,5.14,0.46,2.31,5.96,
2025,migration,first_generation,Formal,2.36,0.38,1.31,2.88,
2025,migration,first_generation,Informal,4.92,0.4,1.73,5.54,
2025,employment,all,Total,5.27,0.72,2.42,6.46,
2025,employment,all,Formal,2.99,0.69,1.73,3.46,
2025,employment,all,Informal,4.63,0.46,1.81,5.31,
2025,employment,retired,Total,7.45,1.04,3.63,9.46,
2025,employment,retired,Formal,4.0,0.58,1.85,4.62,
2025,employment,retired,Informal,6.93,0.92,3.46,9.23,
2025,employment,other_employment,Total,5.77,0.69,2.31,6.85,
2025,employment,other_employment,Formal,3.21,0.69,1.73,3.69,
2025,employment,other_employment,Informal,5.28,0.5,1.85,6.0,
2025,municipality,all,Total,6.24,0.9,2.88,8.02,
2025,municipality,all,Formal,3.1,0.69,1.85,3.69,
2025,municipality,all,Informal,5.77,0.58,2.31,6.92,
2025,municipality,Gemeinden <=10 000 Einw.,Total,5.92,0.88,2.77,6.92,
2025,municipality,Gemeinden <=10 000 Einw.,Formal,3.66,0.69,2.15,4.62,
2025,municipality,Gemeinden <=10 000 Einw.,Informal,5.05,0.46,1.85,6.17,
2025,municipality,Gemeinden <=100 000 Einw.,Total,6.0,0.96,2.96,7.38,
2025,municipality,Gemeinden <=100 000 Einw.,Formal,3.51,0.69,1.85,4.62,
2025,municipality,Gemeinden <=100 000 Einw.,Informal,5.37,0.67,2.31,6.92,
2025,municipality,Gemeinden >100 000 Einw.,Total,5.42,0.58,2.31,6.87,
2025,municipality,Gemeinden >100 000 Einw.,Formal,2.65,0.46,1.17,2.77,
2025,municipality,Gemeinden >100 000 Einw.,Informal,5.1,0.46,1.88,6.46,
2025,region,all,Total,5.86,0.77,2.69,6.94,
2025,region,all,Formal,3.25,0.67,1.73,3.69,
2025,region,all,Informal,5.27,0.52,2.08,6.54,
2025,region,burgenland,Total,6.22,1.15,3.38,7.38,
2025,region,burgenland,Formal,3.04,0.77,1.98,3.85,
2025,region,burgenland,Informal,5.55,5.55,5.55,5.55,
2025,region,kaernten,Total,5.67,0.92,2.69,6.92,
2025,region,kaernten,Formal,2.94,0.69,1.77,3.69,
2025,region,kaernten,Informal,5.28,0.54,2.13,6.7,
2025,region,niederoesterreich,Total,6.03,0.79,2.77,7.69,
2025,region,niederoesterreich,Formal,3.41,0.69,1.73,4.15,
2025,region,niederoesterreich,Informal,5.45,0.58,2.23,6.92,
2025,region,oberoesterreich,Total,6.36,0.85,2.77,7.54,
2025,region,oberoesterreich,Formal,3.41,0.77,1.88,4.15,
2025,region,oberoesterreich,Informal,5.85,0.52,2.31,6.92,
2025,region,salzburg,Total,5.09,0.69,2.31,6.04,
2025,region,salzburg,Formal,3.35,0.69,1.85,4.23,
2025,region,salzburg,Informal,4.44,0.46,1.85,5.54,
2025,region,steiermark,Total,6.01,0.85,2.96,7.88,
