year,region,total_pop,perc_volunteers_from_pop,perc_formal_from_pop,perc_informal_from_pop,total_volunteers,avg_hours_vlntrs,avg_hours_formal,avg_hours_informal,median_hours_vlntrs,median_hours_formal,median_hours_informal,25_hrs_vlntrs,75_hrs_vlntrs,25_hrs_formal,75_hrs_formal,25_hrs_informal,75_hrs_informal
2025,Austria,7732.8,48.2,24.1,38.7,3725.6,5.86,3.25,5.27,2.69,1.73,2.08,0.77,6.94,0.67,3.69,0.52,6.54
2025,Burgenland,258.6,48.6,27.8,39.2,125.6,6.22,3.04,5.55,3.38,1.98,5.55,1.15,7.38,0.77,3.85,5.55,5.55
2025,Carinthia,486.3,43.3,21.8,34.4,210.4,5.67,2.94,5.28,2.69,1.77,2.13,0.92,6.92,0.69,3.69,0.54,6.7
2025,Lower Austria,1458.8,51.6,25.1,41.5,752.8,6.03,3.41,5.45,2.77,1.73,2.23,0.79,7.69,0.69,4.15,0.58,6.92
2025,Upper Austria,1281.0,52.3,26.9,41.1,669.5,6.36,3.41,5.85,2.77,1.88,2.31,0.85,7.54,0.77,4.15,0.52,6.92
2025,Salzburg,480.1,42.9,21.2,33.2,206.1,5.09,3.35,4.44,2.31,1.85,1.85,0.69,6.04,0.69,4.23,0.46,5.54
2025,Styria,1078.9,49.8,28.1,39.5,536.8,6.01,3.72,4.93,2.96,1.85,1.9,0.85,7.88,0.62,4.54,0.5,6.58
2025,Tyrol,653.6,50.7,27.7,39.2,331.3,5.68,3.12,5.14,2.77,1.85,2.31,1.02,6.46,0.69,3.65,0.69,5.54
2025,Vorarlberg,342.2,51.2,29.9,39.4,175.1,6.56,3.75,5.66,3.22,1.85,2.54,0.98,7.73,0.69,4.62,0.69,6.92
2025,Vienna,1693.4,42.4,16.8,36.5,717.9,5.23,2.41,4.98,2.08,1.15,1.85,0.56,6.46,0.38,2.31,0.46,6.12
