year,vol_type,dimension,category,men_count,men_perc,women_count,women_perc,men_avg_hours,women_avg_hours
2025,Formal,Formal_TaskTypes,Vernetzung,34.5,58.5,24.5,41.5,,
2025,Formal,Formal_TaskTypes,Fundraising und Spenden sammeln,30.9,51.5,29.0,48.5,,
2025,Formal,Formal_TaskTypes,Leitungs- und Führungsaufgaben,96.9,68.6,44.3,31.4,,
2025,Formal,Formal_TaskTypes,Etwas anderes,216.0,55.2,175.2,44.8,,
2025,Total,Total_Time/week,avg_hours_summary,,,1806.8,,,6.28
2025,Formal,Formal_Time/week,avg_hours_summary,,,794.6,,,2.97
2025,Informal,Informal_Time/week,avg_hours_summary,,,1507.2,,,5.97
2006,Formal,Formal_NumberOfOrgs,1 Organisation,648.3,53.4,565.7,46.6,,
2006,Formal,Formal_NumberOfOrgs,2 Organisations,279.1,62.9,164.6,37.1,,
2006,Formal,Formal_NumberOfOrgs,3 Organisations,71.9,54.3,60.5,45.7,,
2006,Formal,Formal_NumberOfOrgs,4 or more Organisations,75.4,59.8,50.7,40.2,,
2006,Formal,Formal_TaskTypes,Leadership,365.9,65.9,189.3,34.1,,
2006,Formal,Formal_TaskTypes,Core tasks,571.4,64.3,316.9,35.7,,
2006,Formal,Formal_TaskTypes,Support tasks,364.2,46.2,423.4,53.8,,
2006,Formal,Formal_Areas,Disaster relief and rescue services,392.6,81.0,92.1,19.0,,
2006,Formal,Formal_Areas,"Arts, culture, entertainment",207.1,56.7,158.0,43.3,,
2006,Formal,Formal_Areas,"Environment, nature and animal protection",105.8,55.1,86.0,44.9,,
2006,Formal,Formal_Areas,Religion and Church,155.8,35.6,282.1,64.4,,
2006,Formal,Formal_Areas,Social and Health,139.1,44.8,171.4,55.2,,
2006,Formal,Formal_Areas,Political work and advocacy,183.8,70.5,77.1,29.5,,
2006,Formal,Formal_Areas,Civic activities and community,174.5,58.5,124.0,41.5,,
2006,Formal,Formal_Areas,Education,57.7,41.7,80.7,58.3,,
2006,Formal,Formal_Areas,Sports and exercise,415.0,69.6,181.1,30.4,,
2006,Formal,Formal_Areas,Refugee aid,39.5,40.3,58.6,59.7,,
2006,Informal,Informal_Areas,Various housework,401.7,40.9,579.4,59.1,,
2006,Informal,Informal_Areas,"Repairs, craft work",786.8,86.3,124.4,13.7,,
2006,Informal,Informal_Areas,Visits to persons requiring care,367.8,36.3,644.3,63.7,,
2006,Informal,Informal_Areas,Care for people in need of care,170.9,41.2,244.3,58.8,,
2006,Informal,Informal_Areas,Travel services,422.1,42.6,569.5,57.4,,
2006,Informal,Informal_Areas,gardening,471.9,64.2,263.3,35.8,,
2006,Informal,Informal_Areas,Assistance in disasters,305.5,76.4,94.4,23.6,,
2006,Informal,Informal_Areas,Official procedures and correspondence,295.0,50.7,286.9,49.3,,
2006,Informal,Informal_Areas,Tutoring,105.7,39.3,163.2,60.7,,
2006,Informal,Informal_Areas,Childcare,309.6,38.2,501.8,61.8,,
2006,Informal,Informal_Areas,Care for refugees,78.9,50.8,76.5,49.2,,
2006,Informal,Informal_Areas,Other activity,155.9,57.8,114.1,42.2,,
2006,Formal,Formal_Time/week,<1 hour,308.2,55.3,249.3,44.7,,
2006,Formal,Formal_Time/week,1-4 hours,431.5,60.6,280.1,39.4,,
2006,Formal,Formal_Time/week,5-9 hours,150.5,67.8,71.4,32.2,,
2006,Formal,Formal_Time/week,10-19 hours,98.3,63.2,57.3,36.8,,
2006,Formal,Formal_Time/week,20 hours or more,66.0,65.0,35.5,35.0,,
2006,Informal,Informal_Time/week,<1 hour,627.5,61.3,396.5,38.7,,
2006,Informal,Informal_Time/week,1-4 hours,448.2,49.3,461.2,50.7,,
2006,Informal,Informal_Time/week,5-9 hours,145.2,38.6,230.8,61.4,,
2006,Informal,Informal_Time/week,10-19 hours,145.5,47.6,159.9,52.4,,
2006,Informal,Informal_Time/week,20 hours or more,93.4,46.6,107.0,53.4,,
2012,Formal,Formal_NumberOfOrgs,1 Organisation,633.6,53.9,542.7,46.1,,
2012,Formal,Formal_NumberOfOrgs,2 Organisations,242.6,58.3,173.6,41.7,,
2012,Formal,Formal_NumberOfOrgs,3 Organisations,80.9,57.9,58.9,42.1,,
2012,Formal,Formal_NumberOfOrgs,4 or more Organisations,69.7,61.5,43.6,38.5,,
2012,Formal,Formal_TaskTypes,Leadership,371.4,69.8,161.0,30.2,,
2012,Formal,Formal_TaskTypes,Core tasks,560.4,61.6,349.0,38.4,,
2012,Formal,Formal_TaskTypes,Support tasks,417.8,53.2,367.3,46.8,,
2012,Formal,Formal_Areas,Disaster relief and rescue services,330.4,80.1,82.0,19.9,,
2012,Formal,Formal_Areas,"Arts, culture, entertainment",249.1,52.7,223.5,47.3,,
2012,Formal,Formal_Areas,"Environment, nature and animal protection",136.8,59.2,94.5,40.8,,
2012,Formal,Formal_Areas,Religion and Church,120.5,36.4,210.3,63.6,,
2012,Formal,Formal_Areas,Social and Health,122.9,43.6,158.9,56.4,,
2012,Formal,Formal_Areas,Political work and advocacy,131.2,62.9,77.4,37.1,,
2012,Formal,Formal_Areas,Civic activities and community,160.9,61.8,99.4,38.2,,
2012,Formal,Formal_Areas,Education,72.0,47.0,81.1,53.0,,
2012,Formal,Formal_Areas,Sports and exercise,415.7,73.4,150.5,26.6,,
2012,Formal,Formal_Areas,Refugee aid,38.9,48.7,41.1,51.3,,
2012,Informal,Informal_Areas,Various housework,449.4,41.3,638.2,58.7,,
2012,Informal,Informal_Areas,"Repairs, craft work",851.5,86.7,131.0,13.3,,
2012,Informal,Informal_Areas,Visits to persons requiring care,363.3,34.6,688.0,65.4,,
2012,Informal,Informal_Areas,Care for people in need of care,166.5,36.6,288.9,63.4,,
2012,Informal,Informal_Areas,Travel services,355.8,40.5,523.1,59.5,,
2012,Informal,Informal_Areas,gardening,427.1,56.3,331.8,43.7,,
2012,Informal,Informal_Areas,Assistance in disasters,272.5,69.7,118.5,30.3,,
2012,Informal,Informal_Areas,Official procedures and correspondence,301.5,50.9,290.7,49.1,,
2012,Informal,Informal_Areas,Tutoring,104.3,42.0,144.1,58.0,,
2012,Informal,Informal_Areas,Childcare,259.0,29.4,620.9,70.6,,
2012,Informal,Informal_Areas,Care for refugees,52.7,42.8,70.4,57.2,,
2012,Informal,Informal_Areas,Other activity,154.5,54.5,129.1,45.5,,
2012,Formal,Formal_Time/week,<1 hour,348.0,49.5,354.8,50.5,,
2012,Formal,Formal_Time/week,1-4 hours,416.5,61.1,264.6,38.9,,
